layer,start_date,railway,capacity,:ID,surveillance-type,level,public_transport,STIF-zone,website,addr-street,recycling-clothes,lit,amenity,ref-FR-STIF-stop_id,comment,shelter,dpt,train,crossing,name,city,supervised,lat,maxspeed,bicycle_parking,man_made,recycling-cans,charge,source-wheelchair,description,reg,recycling-green_waste,osmId,highway,old_name,note,crossing_ref,street,loc-name,bus,recycling-paper,segregated,ref-FR-STIF,official_name,bench,button_operated,network,recycling-plastic,tactile_paving,wheelchair,barrier,fixme,route_ref,recycling-glass,recycling-glass_bottles,access,covered,ref-IDFM,district,intermittent,operator,route_ref-FR-RER_D,bicycle,lon,source,mapillary,addr-city,direction,opening_hours,type-RATP,fee,ref,foot,crossing-bollard,traffic_calming,recycling_type
,,,,246675458,,,,,,,,,,,,, Essonne,,uncontrolled,,Corbeil-Essonnes,,48.6177344,,,,,,,, Île-de-France,,246675458,crossing,,,zebra,Rue Henri Desbrueres,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,2.4546102,,,,,,,,,,,,
,,stop,,247312316,,,stop_position,5,,,,,,,,, Essonne,yes,,Évry Val de Seine,Évry-Courcouronnes,,48.6344947,,,,,,,, Île-de-France,,247312316,,Évry,,,Avenue Fragonard,,,,,,EVRY - VAL DE SEINE,,,,,,,,,,,,,,,,,SNCF,ROVO; SOVA; UOVA; LOVA; FOVA; VOVA; DOVA,,2.4522297,,,,,,rer,,RER D,,,,
,,,,248181656,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6250634,,,,,,,, Île-de-France,,248181656,traffic_signals,,,,Boulevard de l'Yerres,,,,,,,,,,,,,,,,,,,,,,,,,,2.4238217,,,,,,,,,,,,
,,,,267095271,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6211743,,,,,,,, Île-de-France,,267095271,,,,,Boulevard des Coquibus,,,,,,,,,,,,,,,,,,,,,,,,,,2.4450116,,,,,,,,,,,,
,,,,269842680,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6320134,,,,,,,, Île-de-France,,269842680,,,,,Rue Francois Truffaut,,,,,,,,,,,,,,,,,,,,,,,,,,2.4195621,,,,,,,,,,,,
,,,,269842682,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6322520,,,,,,,, Île-de-France,,269842682,,,,,Rue Francois Truffaut,,,,,,,,,,,,,,,,,,,,,,,,,,2.4193104,,,,,,,,,,,,
,,,,292421370,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6296423,,,,,,,, Île-de-France,,292421370,,,,,Allee des Champs Elysees (Courcouronnes),,,,,,,,,,,,,,,,,,,,,,,,,,2.4246383,,,,,,,,,,,,
,,,,292421375,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6302058,,,,,,,, Île-de-France,,292421375,,,,,Allee des Champs Elysees (Courcouronnes),,,,,,,,,,,,,,,,,,,,,,,,,,2.4247399,,,,,,,,,,,,
,,,,292421379,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6309681,,,,,,,, Île-de-France,,292421379,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4248707,,,,,,,,,,,,
,,,,292421382,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6310541,,,,,,,, Île-de-France,,292421382,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4248867,,,,,,,,,,,,
,,,,292421398,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6326790,,,,,,,, Île-de-France,,292421398,,,,,Square du Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,2.4250351,,,,,,,,,,,,
,,,,292421401,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6321457,,,,,,,, Île-de-France,,292421401,,,,,Square du Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,2.4249263,,,,,,,,,,,,
,,,,292421407,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6310658,,,,,,,, Île-de-France,,292421407,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4247365,,,,,,,,,,,,
,,,,292421409,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6309791,,,,,,,, Île-de-France,,292421409,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4247197,,,,,,,,,,,,
,,,,292421412,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6307757,,,,,,,, Île-de-France,,292421412,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4248458,,,,,,,,,,,,
,,,,292421418,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6309392,,,,,,,, Île-de-France,,292421418,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4252034,,,,,,,,,,,,
,,,,292421420,,,,,,,,,,,,, Essonne,,traffic_signals,,Évry-Courcouronnes,,48.6310120,,,,,,,, Île-de-France,,292421420,traffic_signals,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4252767,,,,,,,,,,,,
,,,,292421426,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6319131,,,,,,,, Île-de-France,,292421426,,,,,Square du Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,2.4248834,,,,,,,,,,,,
,,,,292421427,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6316221,,,,,,,, Île-de-France,,292421427,,,,,Square du Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,2.4247729,,,,,,,,,,,,
,,,,292421428,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6313912,,,,,,,, Île-de-France,,292421428,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4246946,,,,,,,,,,,,
,,,,292421430,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6313232,,,,,,,, Île-de-France,,292421430,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4246688,,,,,,,,,,,,
,,,,292421431,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6312494,,,,,,,, Île-de-France,,292421431,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4246002,,,,,,,,,,,,
,,,,292421432,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6311813,,,,,,,, Île-de-France,,292421432,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4244714,,,,,,,,,,,,
,,,,292421434,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6311360,,,,,,,, Île-de-France,,292421434,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4243083,,,,,,,,,,,,
,,,,292421436,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6310131,,,,,,,, Île-de-France,,292421436,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4243720,,,,,,,,,,,,
,,,,292421449,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6307118,,,,,,,, Île-de-France,,292421449,,,,,Boulevard de l'Europe,,,,,,,,,,,,,,,,,,,,,,,,,,2.4246580,,,,,,,,,,,,
,,,,292421453,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6259198,,,,,,,, Île-de-France,,292421453,,,,,Boulevard des Champs Elysées,,,,,,,,,,,,,,,,,,,,,,,,,,2.4239927,,,,,,,,,,,,
,,,,292421455,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6260661,,,,,,,, Île-de-France,,292421455,traffic_signals,,,,Rue Léopold Sédar Senghor,,,,,,,,,,,,,,,,,,,,,,,,,,2.4240176,,,,,,,,,,,,
,,,,292421462,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6220279,,,,,,,, Île-de-France,,292421462,,,,,Allée Boissy d'Anglas,,,,,,,,,,,,,,,,,,,,,,,,,,2.4294595,,,,,,,,,,,,
,,,,292421464,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6235445,,,,,,,, Île-de-France,,292421464,,,,,Allée Jean Rostand,,,,,,,,,,,,,,,,,,,,,,,,,,2.4328206,,,,,,,,,,,,
,,,,292421471,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6225052,,,,,,,, Île-de-France,,292421471,,,,,Rue Henri Rochefort,,,,,,,,,,,,,,,,,,,,,,,,,,2.4364796,,,,,,,,,,,,
,,,,292421473,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6222597,,,,,,,, Île-de-France,,292421473,,,,,Allee Gustave Cluseret,,,,,,,,,,,,,,,,,,,,,,,,,,2.4367897,,,,,,,,,,,,
,,,,292421475,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6230337,,,,,,,, Île-de-France,,292421475,,,,,Rue Henri Rochefort,,,,,,,,,,,,,,,,,,,,,,,,,,2.4371873,,,,,,,,,,,,
,,,,292421477,,,,,,,,,,,,, Essonne,,,,Évry-Courcouronnes,,48.6236304,,,,,,,, Île-de-France,,292421477,,,,,Rue Henri Rochefort,,,,,,,,,,,,,,,,,,,,,,,,,,2.4366152,,,,,,,,,,,,
